date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:42	171/171	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:51:43%20GMT	http://www.alliedmaintenance.co.in/robots.txt		(from )
01:21:42	44103/44103	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:51:44%20GMT	http://www.alliedmaintenance.co.in/	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/index.html	(from )
01:21:46	93723/93723	---M-Z	200	added ('OK')	text/css	etag:%22366804b-16e1b-19755900%22	http://catalog.wlimg.com/main-common/catalog_common.css	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/catalog_common.css	(from http://www.alliedmaintenance.co.in/)
01:21:48	205192/205192	---M-Z	200	added ('OK')	text/css	etag:%2214f579e-32188-49d0d9c0%22	http://catalog.wlimg.com/templates-images/12569/12573/catalog.css	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/12573/catalog.css	(from http://www.alliedmaintenance.co.in/)
01:21:52	93637/93637	---M-Z	200	added ('OK')	application/x-javascript	etag:%223668795-16dc5-c15ad800%22	http://catalog.wlimg.com/main-common/jquery.latest.min.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/jquery.latest.min.js	(from http://www.alliedmaintenance.co.in/)
01:21:57	32392/32392	---M-Z	200	added ('OK')	application/x-javascript	etag:%223668794-7e88-2f6b0980%22	http://catalog.wlimg.com/main-common/bizcatglog-js.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/bizcatglog-js.js	(from http://www.alliedmaintenance.co.in/)
01:22:01	10220/10220	---M-Z	200	added ('OK')	application/x-javascript	etag:%223668792-27ec-709f5ec0%22	http://catalog.wlimg.com/main-common/swfobject-new.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/swfobject-new.js	(from http://www.alliedmaintenance.co.in/)
01:22:12	2898/2898	---M-Z	200	added ('OK')	application/x-javascript	etag:%221f80157-b52-221f5080%22	http://catalog.wlimg.com/main-common/resp_common.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/resp_common.js	(from http://www.alliedmaintenance.co.in/)
01:22:16	11534/11534	---M-Z	200	added ('OK')	application/x-javascript	etag:%223668766-2d0e-98046780%22	http://catalog.wlimg.com/main-common/Modernizr2.7.1.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/Modernizr2.7.1.js	(from http://www.alliedmaintenance.co.in/)
01:22:21	53256/53256	---M-Z	200	added ('OK')	application/x-javascript	etag:%2219478d-d008-3e48ebc0%22	http://catalog.wlimg.com/templates-images/12569/common/jquery.bxslider.min.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/common/jquery.bxslider.min.js	(from http://www.alliedmaintenance.co.in/)
01:23:35	10474/10474	---M-Z	200	added ('OK')	application/x-javascript	etag:%221947c8-28ea-e5c42a00%22	http://catalog.wlimg.com/templates-images/12569/common/12569.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/common/12569.js	(from http://www.alliedmaintenance.co.in/)
01:23:36	52302/52302	---M-Z	200	added ('OK')	application/x-javascript	etag:%223280497-cc4e-5e830780%22	http://catalog.wlimg.com/catalog-image-jquery/jquery.fancybox.min.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/catalog-image-jquery/jquery.fancybox.min.js	(from http://www.alliedmaintenance.co.in/)
01:23:36	3654/3654	---M-Z	200	added ('OK')	application/x-javascript	etag:%223668798-e46-e02d4bc0%22	http://catalog.wlimg.com/main-common/jquery.photo.gallery.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/jquery.photo.gallery.js	(from http://www.alliedmaintenance.co.in/)
01:23:36	1156/1156	---M-Z	200	added ('OK')	application/x-javascript	etag:%22366879e-484-b534f540%22	http://catalog.wlimg.com/main-common/jquery.paging.photo.gallery.js	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/jquery.paging.photo.gallery.js	(from http://www.alliedmaintenance.co.in/)
01:23:38	1371/1371	---M--	200	added ('OK')	image/gif	etag:%22431599-55b-5aaf5040%22	http://catalog.wlimg.com/templates-images/12569/12573/setting-icon.gif	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/12573/setting-icon.gif	(from http://www.alliedmaintenance.co.in/)
01:23:38	1911/1911	---M--	200	added ('OK')	image/jpeg	etag:%2243159b-777-5add1700%22	http://catalog.wlimg.com/templates-images/12569/12573/bg1.jpg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/12573/bg1.jpg	(from http://www.alliedmaintenance.co.in/)
01:23:39	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%2243159d-818-5aec5940%22	http://catalog.wlimg.com/templates-images/12569/12573/bg3.jpg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/12573/bg3.jpg	(from http://www.alliedmaintenance.co.in/)
01:23:40	24928/24928	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:41%20GMT	http://www.alliedmaintenance.co.in/about-us.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/about-us.html	(from http://www.alliedmaintenance.co.in/)
01:23:41	29274/29274	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:42%20GMT	http://www.alliedmaintenance.co.in/services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/services.html	(from http://www.alliedmaintenance.co.in/)
01:23:42	30795/30795	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:43%20GMT	http://www.alliedmaintenance.co.in/diesel-generator-rental-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/diesel-generator-rental-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:44	29205/29205	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:44%20GMT	http://www.alliedmaintenance.co.in/overhauling-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/overhauling-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:44	27042/27042	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:46%20GMT	http://www.alliedmaintenance.co.in/alternator-maintenance-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/alternator-maintenance-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:45	26738/26738	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:46%20GMT	http://www.alliedmaintenance.co.in/amf-panel-inspection-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/amf-panel-inspection-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:46	26759/26759	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:48%20GMT	http://www.alliedmaintenance.co.in/breakdown-call-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/breakdown-call-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:48	26814/26814	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:48%20GMT	http://www.alliedmaintenance.co.in/dg-set-testing-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/dg-set-testing-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:49	26791/26791	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:50%20GMT	http://www.alliedmaintenance.co.in/inventory-management-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/inventory-management-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:50	26956/26956	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:51%20GMT	http://www.alliedmaintenance.co.in/loading-and-unloading-services.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/loading-and-unloading-services.html	(from http://www.alliedmaintenance.co.in/)
01:23:52	24333/24333	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:52%20GMT	http://www.alliedmaintenance.co.in/current-jobs.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/current-jobs.html	(from http://www.alliedmaintenance.co.in/)
01:23:53	28661/28661	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:55%20GMT	http://www.alliedmaintenance.co.in/contact-us.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/contact-us.html	(from http://www.alliedmaintenance.co.in/)
01:23:55	25918/25918	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202018%2019:53:56%20GMT	http://www.alliedmaintenance.co.in/sitemap.htm	C:/My%20Web%20Sites/allied/www.alliedmaintenance.co.in/sitemap.html	(from http://www.alliedmaintenance.co.in/)
01:23:59	25041/25041	---M--	200	added ('OK')	image/jpeg	etag:%2222ac18a-61d1-12c78100%22	https://2.wlimg.com/product_images/bc-small/dir_157/4687321/diesel-generator-rental-services-1512125156-3490914.jpeg	C:/My%20Web%20Sites/allied/2.wlimg.com/product_images/bc-small/dir_157/4687321/diesel-generator-rental-services-1512125156-3490914.jpg	(from http://www.alliedmaintenance.co.in/)
01:24:01	21776/21776	---M--	200	added ('OK')	image/jpeg	etag:%2222ac191-5510-19b18600%22	https://2.wlimg.com/product_images/bc-small/dir_157/4687321/overhauling-services-1512125271-3490926.jpeg	C:/My%20Web%20Sites/allied/2.wlimg.com/product_images/bc-small/dir_157/4687321/overhauling-services-1512125271-3490926.jpg	(from http://www.alliedmaintenance.co.in/)
01:24:02	462811/462811	---M--	200	added ('OK')	image/png	etag:%2214f577c-70fdb-5bd13b00%22	http://catalog.wlimg.com/templates-images/12569/12573/ei_footerbg.png	C:/My%20Web%20Sites/allied/catalog.wlimg.com/templates-images/12569/12573/ei_footerbg.png	(from http://www.alliedmaintenance.co.in/)
